epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1040.97,4.03542,4.18373,3.16718,0.66392,0.1371,0.11261,0.03915,2.85061,2.12678,1.8956,0.00332,0.00332,0.00332
2,1693.36,2.53575,1.78133,1.54163,0.86284,0.22105,0.25786,0.13098,2.07331,1.58938,1.43517,0.00663138,0.00663138,0.00663138
3,2324.51,2.08664,1.35752,1.30249,0.9862,0.077,0.22435,0.113,2.02145,inf,1.36604,0.00992075,0.00992075,0.00992075
4,2882.33,1.86104,1.12754,1.19752,0.67307,0.28942,0.35099,0.21717,1.67164,1.22039,1.17967,0.009901,0.009901,0.009901
5,3456.26,1.74915,1.00683,1.15056,0.52632,0.33548,0.37596,0.22658,1.57785,0.92465,1.13057,0.009868,0.009868,0.009868
6,4107.27,1.69322,0.95206,1.12904,0.72263,0.41344,0.45669,0.26851,1.46715,0.86226,1.07847,0.009835,0.009835,0.009835
7,4861.76,1.65488,0.91756,1.11256,0.52411,0.43946,0.44076,0.27248,1.43254,0.7771,1.07013,0.009802,0.009802,0.009802
8,5847.77,1.62585,0.89441,1.10463,0.69832,0.41501,0.44853,0.2683,1.45333,0.79232,1.07591,0.009769,0.009769,0.009769
9,6680.67,1.61033,0.87858,1.09972,0.54521,0.44772,0.46431,0.27922,1.39972,0.72454,1.05499,0.009736,0.009736,0.009736
10,7483.81,1.59254,0.86423,1.09293,0.58973,0.4379,0.46117,0.28701,1.3963,0.75813,1.0529,0.009703,0.009703,0.009703
11,8095.17,1.58586,0.85496,1.08847,0.62905,0.46286,0.49332,0.29542,1.35836,0.90497,1.04461,0.00967,0.00967,0.00967
12,8855.54,1.57412,0.84867,1.08842,0.64996,0.46273,0.48365,0.29731,1.37211,0.70089,1.04107,0.009637,0.009637,0.009637
13,9465.32,1.56831,0.83904,1.08465,0.69227,0.4437,0.48633,0.30625,1.36621,0.7021,1.03973,0.009604,0.009604,0.009604
14,10050.4,1.55789,0.83575,1.08443,0.60864,0.4613,0.4821,0.29924,1.37073,0.71232,1.04628,0.009571,0.009571,0.009571
15,10669,1.55506,0.83117,1.08196,0.72232,0.45624,0.4935,0.30788,1.34731,0.70494,1.03032,0.009538,0.009538,0.009538
16,11281.2,1.54594,0.82659,1.07836,0.6958,0.46521,0.50092,0.31238,1.3482,0.68846,1.03631,0.009505,0.009505,0.009505
17,11891,1.54227,0.82308,1.07599,0.66119,0.45706,0.49566,0.30578,1.34299,0.71683,1.02902,0.009472,0.009472,0.009472
18,12592.7,1.53942,0.81851,1.07606,0.73201,0.43917,0.49285,0.3099,1.33434,0.68473,1.03149,0.009439,0.009439,0.009439
19,13293.7,1.53655,0.82019,1.07352,0.70893,0.47983,0.50956,0.31689,1.33255,0.72473,1.02673,0.009406,0.009406,0.009406
20,13880.1,1.52739,0.80792,1.07184,0.72564,0.47068,0.51256,0.32217,1.33168,0.67566,1.02828,0.009373,0.009373,0.009373
21,14489.8,1.52806,0.81198,1.07288,0.75993,0.46688,0.51347,0.3196,1.3286,0.68564,1.02327,0.00934,0.00934,0.00934
22,15155.4,1.52163,0.80492,1.06933,0.66933,0.48025,0.51378,0.32035,1.3331,0.67167,1.02693,0.009307,0.009307,0.009307
23,16049,1.52545,0.81245,1.07186,0.73789,0.38649,0.42762,0.2587,1.4438,0.85907,1.09041,0.009274,0.009274,0.009274
24,17003.6,1.52093,0.80254,1.06983,0.6928,0.49635,0.52673,0.32808,1.32508,0.67686,1.02695,0.009241,0.009241,0.009241
25,17718.7,1.51418,0.79864,1.06788,0.69512,0.48982,0.53242,0.33257,1.32051,0.66092,1.02723,0.009208,0.009208,0.009208
26,18408.4,1.51358,0.79693,1.066,0.68441,0.4883,0.52597,0.32465,1.32292,0.66079,1.02535,0.009175,0.009175,0.009175
27,19258,1.50933,0.79388,1.06659,0.72881,0.46795,0.52381,0.32319,1.31938,0.66205,1.02176,0.009142,0.009142,0.009142
28,19916.8,1.51068,0.79426,1.06699,0.68603,0.49061,0.53203,0.32438,1.31801,0.65874,1.0232,0.009109,0.009109,0.009109
29,20602.3,1.50616,0.79039,1.064,0.68667,0.49865,0.53256,0.32394,1.31444,0.65631,1.02344,0.009076,0.009076,0.009076
30,21396.9,1.50152,0.78688,1.06351,0.73373,0.49093,0.53429,0.32344,1.31709,0.65754,1.02344,0.009043,0.009043,0.009043
31,22076.3,1.49927,0.78651,1.0619,0.76324,0.47091,0.53433,0.33069,1.31905,0.65996,1.02205,0.00901,0.00901,0.00901
32,22865,1.49535,0.78163,1.06009,0.6934,0.50277,0.53872,0.33995,1.31279,0.65436,1.02162,0.008977,0.008977,0.008977
33,23636.6,1.50145,0.7862,1.06193,0.69071,0.50619,0.53921,0.33077,1.3127,0.65184,1.02228,0.008944,0.008944,0.008944
34,24437.9,1.492,0.77891,1.06153,0.71708,0.50192,0.54058,0.33385,1.31138,0.65197,1.02088,0.008911,0.008911,0.008911
35,25471.6,1.48849,0.77583,1.05748,0.6863,0.50942,0.53887,0.33522,1.31041,0.65052,1.02114,0.008878,0.008878,0.008878
36,26244.9,1.49277,0.77833,1.06047,0.73204,0.499,0.53793,0.33324,1.30806,0.64963,1.01972,0.008845,0.008845,0.008845
37,27101.7,1.49397,0.78176,1.06134,0.71149,0.48768,0.52921,0.32823,1.31351,0.65498,1.02381,0.008812,0.008812,0.008812
38,27905.3,1.4877,0.77349,1.05864,0.67161,0.49561,0.53232,0.33241,1.30861,0.6462,1.01985,0.008779,0.008779,0.008779
39,28723.6,1.4855,0.77117,1.05843,0.70757,0.50734,0.54193,0.33753,1.30988,0.64473,1.02043,0.008746,0.008746,0.008746
40,29655.3,1.48386,0.77077,1.05654,0.70386,0.51114,0.53961,0.33651,1.3074,0.64463,1.02015,0.008713,0.008713,0.008713
